token_id,meter,amount_cents,tariff_cents
205,MK0157049501,5000,2300
206,MK0167824979,50000,2300
207,MK30X,10000,2300
208,MK0137774171,10000,2300
209,MK2259361961,10000,2300
210,MK2264624106,50000,2300
211,MK3012431880,10000,2300
212,MK4730224683,20000,2300
213,MK2215444131,10000,2300
214,MK3076002138,50000,2300
215,MK3072839673,10000,2300
216,MK0123872966,50000,2300
217,MK2269572141,5000,2300
218,MK0175405489,20000,2300
219,MK3031655452,50000,2300
220,MK2273632847,10000,2300
221,MK3048277133,5000,2300
222,MK3058224331,20000,2300
223,MK4711917579,10000,2300
224,MK4732243823,5000,2300
225,MK0172511600,20000,2300
226,MK4775790928,10000,2300
227,MK4747153095,50000,2300
228,MK4790998623,5000,2300
229,MK3045127694,10000,2300
230,MK22X,20000,2300
231,MK4713938452,50000,2300
232,MK0185663622,10000,2300
233,MK2278294031,20000,2300
234,MK3012230474,10000,2300
235,MK4775205793,5000,2300
236,MK2279945694,50000,2300
237,MK0149425773,10000,2300
238,MK0183426025,5000,2300
239,MK3069607634,50000,2300
240,MK3070735679,20000,2300
241,MK3028743646,5000,2300
242,MK2240937692,50000,2300
243,MK4752480293,5000,2300
244,MK0147560763,20000,2300
245,MK2299750363,5000,2300
246,MK4779094344,50000,2300
247,MK0151792216,20000,2300
248,MK2263227578,20000,2300
249,MK3038752077,5000,2300
250,MK3091948694,50000,2300
251,MK4727651590,50000,2300
252,MK2220638311,50000,2300
253,MK01X,5000,2300
254,MK4794707071,5000,2300
255,MK4767881456,20000,2300
256,MK2245951984,20000,2300
257,MK0141667842,50000,2300
258,MK0130116885,10000,2300
259,MK2296829598,5000,2300
260,MK2217325123,10000,2300
261,MK3035447463,10000,2300
262,MK4780335738,10000,2300
263,MK2224369426,50000,2300
264,MK0113529174,20000,2300
265,MK0125447741,10000,2300
266,MK0161484189,20000,2300
267,MK0110996518,20000,2300
268,MK2243010464,5000,2300
269,MK2223932645,20000,2300
270,MK4756354881,50000,2300
271,MK2282205689,20000,2300
272,MK0181730775,50000,2300
273,MK0189767050,20000,2300
274,MK3032537613,20000,2300
275,MK0127500847,5000,2300
276,MK22X,10000,2300
277,MK4731200894,5000,2300
278,MK3080495470,20000,2300
279,MK2282528750,50000,2300
280,MK0189251005,10000,2300
281,MK2277966223,20000,2300
282,MK3090669791,20000,2300
283,MK3049942635,20000,2300
284,MK4790808405,10000,2300
285,MK0147902067,50000,2300
286,MK2227431111,50000,2300
287,MK0193258318,50000,2300
288,MK4766027315,50000,2300
289,MK4741725806,50000,2300
290,MK0120041739,20000,2300
291,MK4783645879,50000,2300
292,MK2262289210,20000,2300
293,MK3059938336,20000,2300
294,MK2260001785,5000,2300
295,MK0153401564,10000,2300
296,MK3018630512,5000,2300
297,MK4738068337,20000,2300
298,MK3036422008,5000,2300
299,MK30X,50000,2300
300,MK0169243427,20000,2300
301,MK2240179759,50000,2300
302,MK3048487843,10000,2300
303,MK0190376171,5000,2300
304,MK4757146793,50000,2300
305,MK2234650385,50000,2300
306,MK0162180422,10000,2300
307,MK3068547018,20000,2300
308,MK4718639586,50000,2300
309,MK4711274023,20000,2300
310,MK2294739634,5000,2300
311,MK2288229678,10000,2300
312,MK0197030199,50000,2300
313,MK4796071059,5000,2300
314,MK4734157462,10000,2300
315,MK2248200915,20000,2300
316,MK0137161712,20000,2300
317,MK0188104881,20000,2300
318,MK3088476580,10000,2300
319,MK4768093227,20000,2300
320,MK2239000540,10000,2300
321,MK2226069958,50000,2300
322,MK30X,10000,2300
323,MK3076942046,10000,2300
324,MK4741779164,50000,2300
325,MK2239990339,10000,2300
326,MK3056389709,20000,2300
327,MK3024918959,10000,2300
328,MK3069347863,10000,2300
329,MK0174824101,10000,2300
330,MK3091786678,10000,2300
331,MK2290322093,50000,2300
332,MK3069369953,20000,2300
333,MK4781984270,50000,2300
334,MK4787711100,10000,2300
335,MK2276424359,10000,2300
336,MK2256433347,50000,2300
337,MK0125409250,50000,2300
338,MK0188308790,20000,2300
339,MK3080877215,10000,2300
340,MK2294463796,10000,2300
341,MK3076127645,5000,2300
342,MK0193663563,5000,2300
343,MK3082675306,20000,2300
344,MK3011452224,50000,2300
345,MK22X,50000,2300
346,MK0143531986,20000,2300
347,MK2224710796,20000,2300
348,MK3075221059,10000,2300
349,MK2236335679,50000,2300
350,MK4717355473,50000,2300
351,MK0177792998,10000,2300
352,MK4784088474,5000,2300
353,MK3063325990,20000,2300
354,MK2247091975,20000,2300
355,MK3025730712,10000,2300
356,MK2259854132,50000,2300
357,MK3059569778,10000,2300
358,MK0199515083,10000,2300
359,MK3056658884,20000,2300
360,MK4728174846,5000,2300
361,MK2254825785,5000,2300
362,MK0132183394,5000,2300
363,MK3078289875,10000,2300
364,MK2267464159,50000,2300
365,MK3049639114,20000,2300
366,MK0116253356,5000,2300
367,MK2295962458,5000,2300
368,MK01X,10000,2300
369,MK3015840223,20000,2300
370,MK4731267406,10000,2300
371,MK2267411077,20000,2300
372,MK4783020518,20000,2300
373,MK3028359107,5000,2300
374,MK0122799366,5000,2300
375,MK2271173985,50000,2300
376,MK0110265622,5000,2300
377,MK2232928429,5000,2300
378,MK3079556909,20000,2300
379,MK4715942193,10000,2300
380,MK4781888602,50000,2300
381,MK0169203938,50000,2300
382,MK4756346200,10000,2300
383,MK0165816452,50000,2300
384,MK2252376487,5000,2300
385,MK3022962210,5000,2300
386,MK4788978485,20000,2300
387,MK0170951160,20000,2300
388,MK0180009549,50000,2300
389,MK4733857368,50000,2300
390,MK3088115035,10000,2300
391,MK01X,20000,2300
392,MK0159156729,20000,2300
393,MK4777040889,5000,2300
394,MK0165591590,5000,2300
395,MK4773558834,5000,2300
396,MK2211797044,5000,2300
397,MK3050899659,50000,2300
398,MK3050938077,10000,2300
399,MK4764462077,5000,2300
400,MK0141872169,5000,2300
401,MK2281254137,10000,2300
402,MK4750390806,5000,2300
403,MK4758626761,50000,2300
404,MK2299493068,20000,2300
405,MK2272467104,20000,2300
406,MK3051019440,50000,2300
407,MK2244456835,10000,2300
408,MK4797314493,20000,2300
409,MK2273996151,10000,2300
410,MK4799023465,10000,2300
411,MK2242410680,50000,2300
412,MK3023160521,10000,2300
413,MK3067896060,50000,2300
414,MK22X,50000,2300
415,MK3062922016,20000,2300
416,MK3080591588,10000,2300
417,MK0136398429,5000,2300
418,MK4791124272,50000,2300
419,MK2260798634,50000,2300
420,MK2263018366,5000,2300
421,MK4736089791,5000,2300
422,MK2278818271,5000,2300
423,MK4789815162,10000,2300
424,MK0166657394,50000,2300
425,MK0138930225,50000,2300
426,MK3094045702,50000,2300
427,MK3083803375,5000,2300
428,MK3084139920,50000,2300
429,MK4747836058,10000,2300
430,MK0162277271,10000,2300
431,MK3040782596,5000,2300
432,MK3038967869,10000,2300
433,MK4778105861,20000,2300
434,MK0147290455,5000,2300
435,MK3037340686,20000,2300
436,MK3039025935,10000,2300
437,MK22X,50000,2300
438,MK4781579406,50000,2300
439,MK3080588765,10000,2300
440,MK0151761462,20000,2300
441,MK4766615987,50000,2300
442,MK0143685401,5000,2300
443,MK4733250870,20000,2300
444,MK0140005760,20000,2300
445,MK4752499130,5000,2300
446,MK3084626585,20000,2300
447,MK2269373046,50000,2300
448,MK2210111790,5000,2300
449,MK3074329339,20000,2300
450,MK0171848467,50000,2300
451,MK3059119533,5000,2300
452,MK2285747097,50000,2300
453,MK4773413432,5000,2300
454,MK0141365595,5000,2300
455,MK0144966357,20000,2300
456,MK3082568635,5000,2300
457,MK3011976069,5000,2300
458,MK0124350030,50000,2300
459,MK2211150910,50000,2300
460,MK47X,5000,2300
461,MK4737054015,5000,2300
462,MK4798905957,20000,2300
463,MK0116631252,50000,2300
464,MK4778533942,10000,2300
465,MK2293211950,20000,2300
466,MK4735745619,5000,2300
467,MK2227223809,20000,2300
468,MK2299837662,50000,2300
469,MK3094465741,20000,2300
470,MK0132140089,20000,2300
471,MK2242402302,20000,2300
472,MK3056279527,10000,2300
473,MK3019886190,10000,2300
474,MK3089755010,50000,2300
475,MK2239064131,5000,2300
476,MK4790633208,20000,2300
477,MK4797216730,50000,2300
478,MK2281799666,50000,2300
479,MK3021711104,5000,2300
480,MK2263116477,10000,2300
481,MK3027844327,20000,2300
482,MK0136794228,10000,2300
483,MK47X,20000,2300
484,MK0179374830,5000,2300
485,MK3068989055,20000,0
486,MK4795441637,20000,2300
487,MK0193919830,50000,2300
488,MK3079640698,50000,2300
489,MK0118642085,10000,2300
490,MK3082020280,5000,2300
491,MK4734037523,5000,2300
492,MK0153844781,5000,2300
493,MK3087946341,10000,2300
494,MK4711525495,10000,2300
495,MK0186608509,20000,2300
496,MK3056851141,50000,2300
497,MK2267533688,50000,2300
498,MK2264086939,5000,2300
499,MK3066251014,20000,2300
500,MK4711076637,10000,2300
